Module,Stage,Status,business_id,name,address,city,state,postal_code,PhoneDayNumber,PhoneDayExt,Status
FoodFacility,Active,Permitted,1200811,Alps Market,2700 S GRAND,St Louis,MO,63118,773-0085,,Permitted
FoodFacility,Active,Permitted,9026,Al's Cafe,2500 DEKALB 02,St Louis,MO,63104,776-4171,,Permitted
FoodFacility,Active,Permitted,2000,Al's Restaurant,1200 N 1ST,St Louis,MO,63102,421-6399,,Permitted
FoodFacility,Active,Permitted,MWIS-95HRDQ,Alumni Saint Louis,200 N 13th St,SAINT LOUIS,MO,63102,241-5888,,Permitted
FoodFacility,Active,Pending,#N/A,AM & BM LLC Phillips 66,4300 S Kingshighway,St Louis,MO,63109,,,#N/A
FoodFacility,Active,Permitted,1400098,Ameren UE,1901 Chouteau,St Louis,MO,63103,554-2360,,Permitted
FoodFacility,Active,Permitted,15501,American Catering Truck,2424 Cambridge,High Ridge,MO,63049,376-8462,,Permitted
FoodFacility,Active,Permitted,6614,American Czech Educational Center,4690 Lansdowne,St Louis,MO,63116,752-8168,,Permitted
FoodFacility,Active,Permitted,7665,American Legion Post 422,2601 S 11Th St,St Louis,MO,63118,776-8504,,Permitted
FoodFacility,Active,Permitted,MWHN-8VAPL9,America's Center Main Kitchen,701 Convention Plz,St Louis,MO,63101,342-5191,5,Permitted
FoodFacility,Active,Permitted,KHUS-9PFRLG,America's Tavern,1449 S Vandeventer,St Louis,MO,63110,,,Permitted
FoodFacility,Active,Permitted,1200980,Ameriserve @ Conflucence Academies Old North Cam,3017 N 13TH,St Louis,MO,,,,Permitted
FoodFacility,Active,Permitted,1201007,Ameriserve @ Conflucence Old North Annex,3017 N 13TH,St Louis,MO,,382-3032,,Permitted
FoodFacility,Active,Permitted,1200983,Ameriserve @ Confluence Academy Walnut Park Cam,5421 THEKLA,St Louis,MO,63120,499-1500,,Permitted
FoodFacility,Active,Permitted,1200982,Ameriserve @ Confluence South City Campus,4235 S COMPTON,St Louis,MO,63111,832-3010,,Permitted
FoodFacility,Active,Permitted,1201006,Ameriserve @Conflucence Academy Annex,5421 THEKLA,St Louis,MO,63120,382-3032,,Permitted
FoodFacility,Active,Permitted,1200981,Ameriserve @Conflucence Academy Prep Academy,310 N 15th St,St Louis,MO,63103,429-0761,,Permitted
FoodFacility,Active,Permitted,1200978,Ameriserve @Confluence Academy,3112 MERAMEC,St Louis,MO,63118,481-4700,,Permitted
FoodFacility,Active,Permitted,CGIA-9NLT8H,Amighetti Bakery,5141 WILSON 43,St Louis,MO,63110,776-2855,,Permitted
